GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons RDF: API,org.apache.commons.rdf.api,Quad.new Triple() {...},72,0,10,0,13,0,11,0,6,0
Commons RDF: API,org.apache.commons.rdf.api,RDFTermFactory,40,0,0,0,8,0,8,0,8,0
Commons RDF: API,org.apache.commons.rdf.api,Quad,5,0,0,0,1,0,1,0,1,0
Commons RDF: API,org.apache.commons.rdf.api,RDFSyntax,5,177,0,0,0,20,1,8,1,8
Commons RDF: API,org.apache.commons.rdf.api,Dataset,19,0,0,0,3,0,3,0,3,0
Commons RDF: API,org.apache.commons.rdf.api,Graph,27,0,0,0,5,0,5,0,5,0
Commons RDF: API,org.apache.commons.rdf.experimental,RDFParser,22,0,2,0,5,0,4,0,3,0
