GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons RDF: API,org.apache.commons.rdf.api,Quad.new Triple() {...},1,71,3,7,0,13,3,8,0,6
Commons RDF: API,org.apache.commons.rdf.api,RDFTermFactory,0,40,0,0,0,8,0,8,0,8
Commons RDF: API,org.apache.commons.rdf.api,Quad,0,5,0,0,0,1,0,1,0,1
Commons RDF: API,org.apache.commons.rdf.api,RDFSyntax,0,182,0,0,0,20,0,9,0,9
Commons RDF: API,org.apache.commons.rdf.api,Dataset,0,19,0,0,0,3,0,3,0,3
Commons RDF: API,org.apache.commons.rdf.api,Graph,0,27,0,0,0,5,0,5,0,5
Commons RDF: API,org.apache.commons.rdf.experimental,RDFParser,22,0,2,0,5,0,4,0,3,0
